Rank,Title,Author,Price
1,"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",Jordan Moore,$12.90
2,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,48 offers from $13.40
3,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,$10.98
4,The Ultimate Serial Killer Trivia Book: A Collection Of Fascinating Facts And Disturbing Details About Infamous Serial Killers And Their Horrific Crimes (Perfect True Crime Gift),Jack Rosewood,$14.90
5,The Screaming Goat (Book & Figure),"4.7 out of 5 stars 30,872",$8.09
6,It Ends with Us: A Novel (1),Colleen Hoover,$9.99
7,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,$5.63
8,The Simply Happy Cookbook: 100-Plus Recipes to Take the Stress Out of Cooking (The Happy Cookbook Series),Steve Doocy,$18.80
9,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$11.98
10,Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,Harris Faulkner,$17.91
11,"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Between",Karen Harris,$9.99
12,Radio's Greatest of All Time,Rush Limbaugh,$21.49
13,Diper Överlöde (Diary of a Wimpy Kid Book 17),Jeff Kinney,$10.00
14,The Boys from Biloxi: A Legal Thriller,John Grisham,$14.00
15,Verity,Colleen Hoover,$11.26
16,Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),Jimmy Niro,$5.93
17,Learn A Lot While You Sit On The Pot: Funny Bathroom Trivia Book For Adults & Older Teens (THINGS TO DO WHILE YOU POO),Alex Smart,$6.99
18,Lessons in Chemistry: A Novel,Bonnie Garmus,$18.34
19,"Harry Potter and the Order of the Phoenix: The Illustrated Edition (Harry Potter, Book 5)",J. K. Rowling,$29.48
20,People of Walmart Adult Coloring Book: Rolling Back Dignity,Andrew Kipple,$10.99
21,Go-To Dinners: A Barefoot Contessa Cookbook,Ina Garten,$20.98
22,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,$16.05
23,Guinness World Records 2023,Guinness World Records,$15.98
24,Fairy Tale,Stephen King,$16.25
25,"How To Draw 101 Cute Stuff For Kids: Simple and Easy Step-by-Step Guide Book to Draw Everything like Animals, Gift, Avocado and more with Cute Style",Sophia Elizabeth,$9.99
26,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",Snoop Dogg,$15.62
27,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,$38.86
28,How to Catch an Elf,Adam Wallace,$6.43
29,The Hardest Hidden Pictures Book Ever (Highlights Hidden Pictures),Highlights,$6.27
30,Promises From God for Women Cards - A Box of Blessings,Christian Art Gifts,$4.99
